antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'TOILET METAL SIGN'}),frozenset({'BATHROOM METAL SIGN'}),0.028819851504493944,0.03468151621727237,0.022469714732317313,0.7796610169491526,22.480592026736694,0.021470198584984824,4.381060811013919
frozenset({'BATHROOM METAL SIGN'}),frozenset({'TOILET METAL SIGN'}),0.03468151621727237,0.028819851504493944,0.022469714732317313,0.6478873239436621,22.480592026736694,0.021470198584984824,2.7581516217272384
frozenset({'RED 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),0.03223915592028136,0.03126221180148495,0.021004298554122704,0.6515151515151516,20.840340909090912,0.01999643123344177,2.779856261787044
frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),frozenset({'RED 3 PIECE MINI DOTS CUTLERY SET'}),0.03126221180148495,0.03223915592028136,0.021004298554122704,0.671875,20.840340909090912,0.01999643123344177,2.9493663819572378
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.04132473622508793,0.03429073856975381,0.02442360296991012,0.5910165484633569,17.23545695176901,0.023006547243551594,2.3612428762138387
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.03429073856975381,0.04132473622508793,0.02442360296991012,0.7122507122507122,17.235456951769006,0.023006547243551594,3.3316338374751893
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.04249706916764361,0.059788980070339975,0.03077373974208675,0.7241379310344827,12.11156186612576,0.028232883320574647,3.408264947245016
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.059788980070339975,0.04249706916764361,0.03077373974208675,0.5147058823529411,12.11156186612576,0.028232883320574647,1.973036342321219
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),0.07678780773739742,0.04083626416568972,0.03087143415396639,0.4020356234096692,9.845063734979364,0.027735706952497836,1.6040482901399313
frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.04083626416568972,0.07678780773739742,0.03087143415396639,0.7559808612440191,9.845063734979362,0.027735706952497836,3.783359768291841
frozenset({'LUNCH BAG SUKI  DESIGN '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05011723329425557,0.051191871824931616,0.025205158264947247,0.5029239766081872,9.82429355832329,0.02263956328192752,1.9087787049169027
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG SUKI  DESIGN '}),0.051191871824931616,0.05011723329425557,0.025205158264947247,0.49236641221374045,9.824293558323289,0.02263956328192752,1.8711976306534213
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),0.06369675654552559,0.033509183274716685,0.020613520906604142,0.3236196319018405,9.65764009372373,0.018479094617515117,1.4289161281289904
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.033509183274716685,0.06369675654552559,0.020613520906604142,0.6151603498542274,9.65764009372373,0.018479094617515117,2.4329697917036723
frozenset({'LUNCH BAG PINK RETROSPOT'}),frozenset({'LUNCH BAG SUKI  DESIGN '}),0.05255959359124658,0.05011723329425557,0.023544353262993357,0.4479553903345725,8.938150829365856,0.02091021184912959,1.720663058881113
frozenset({'LUNCH BAG SUKI  DESIGN '}),frozenset({'LUNCH BAG PINK RETROSPOT'}),0.05011723329425557,0.05255959359124658,0.023544353262993357,0.4697855750487329,8.938150829365854,0.02091021184912959,1.7869004723812152
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG PINK RETROSPOT'}),0.051191871824931616,0.05255959359124658,0.023348964439234076,0.45610687022900764,8.67789948636454,0.020658340460940484,1.7419606068708309
frozenset({'LUNCH BAG PINK RETROSPOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05255959359124658,0.051191871824931616,0.023348964439234076,0.44423791821561337,8.677899486364538,0.020658340460940484,1.7072199764487852
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG PINK RETROSPOT'}),0.04718640093786636,0.05255959359124658,0.02041813208284486,0.4327122153209109,8.232792260269227,0.01793803402651699,1.670123052173094
frozenset({'LUNCH BAG PINK RETROSPOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.05255959359124658,0.04718640093786636,0.02041813208284486,0.38847583643122674,8.232792260269227,0.01793803402651699,1.5580964021137624
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.06369675654552559,0.050801094177413054,0.02627979679562329,0.4125766871165645,8.121413402548372,0.023043931867558293,1.6158686334107748
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.050801094177413054,0.06369675654552559,0.02627979679562329,0.5173076923076922,8.121413402548372,0.023043931867558293,1.9397517394275963
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.0687768659632669,0.05949589683470106,0.03214146150840172,0.46732954545454547,7.8548197492163006,0.02804952018643713,1.7656397030089879
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.05949589683470106,0.0687768659632669,0.03214146150840172,0.5402298850574713,7.8548197492163006,0.02804952018643713,2.0254103165298947
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.033509183274716685,0.07981633450566628,0.020711215318483783,0.6180758017492711,7.743725712001884,0.018036635137217316,2.4093358569813472
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.041617819460726846,0.07366158655724893,0.023251270027354436,0.5586854460093897,7.584488362535959,0.020185635416824145,2.099043426205383
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG WOODLAND'}),0.07366158655724893,0.041617819460726846,0.023251270027354436,0.3156498673740053,7.584488362535958,0.020185635416824145,1.4004266746639769
frozenset({'JUMBO BAG PINK WITH WHITE SPOTS'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.04884720593982024,0.055197342711996875,0.02032043767096522,0.41600000000000004,7.5365946902654875,0.017624201704181473,1.6178127693287727
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG PINK WITH WHITE SPOTS'}),0.055197342711996875,0.04884720593982024,0.02032043767096522,0.368141592920354,7.536594690265487,0.017624201704181473,1.5053258505434217
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.05676045330207112,0.07366158655724893,0.031164517389605316,0.549053356282272,7.453726995895671,0.02698345234566612,2.054208466451292
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.07366158655724893,0.05676045330207112,0.031164517389605316,0.4230769230769231,7.4537269958956704,0.02698345234566612,1.6349485476097436
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.051191871824931616,0.05676045330207112,0.021199687377881984,0.41412213740458015,7.295962475857629,0.018294013527717343,1.6099593565788752
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05676045330207112,0.051191871824931616,0.021199687377881984,0.37349397590361444,7.295962475857628,0.018294013527717343,1.5144437430486668
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI  DESIGN '}),0.05676045330207112,0.05011723329425557,0.020613520906604142,0.36316695352839934,7.2463488037362485,0.017768844026576545,1.4915726688001014
frozenset({'LUNCH BAG SUKI  DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05011723329425557,0.05676045330207112,0.020613520906604142,0.41130604288499023,7.246348803736248,0.017768844026576545,1.6022579054835677
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.07981633450566628,0.050801094177413054,0.029308323563892145,0.36719706242350064,7.228132944167216,0.02525356643777389,1.4999913076538751
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.050801094177413054,0.07981633450566628,0.029308323563892145,0.5769230769230769,7.228132944167215,0.02525356643777389,2.1749795729866066
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG CARS BLUE'}),0.07366158655724893,0.04718640093786636,0.025107463853067606,0.34084880636604775,7.223454206962453,0.02163163869605791,1.4455160034061343
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.04718640093786636,0.07366158655724893,0.025107463853067606,0.5320910973084886,7.223454206962452,0.02163163869605791,1.9797409455435784
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.055197342711996875,0.05529503712387651,0.021590465025400546,0.39115044247787606,7.073879733575159,0.018538325911001345,1.5516229768168885
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.05529503712387651,0.055197342711996875,0.021590465025400546,0.39045936395759717,7.073879733575159,0.018538325911001345,1.5500240696377094
frozenset({'LUNCH BAG PINK RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05255959359124658,0.05676045330207112,0.021004298554122704,0.3996282527881041,7.040610663578371,0.018020992196510915,1.5710924957383459
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK RETROSPOT'}),0.05676045330207112,0.05255959359124658,0.021004298554122704,0.37005163511187605,7.04061066357837,0.018020992196510915,1.5039969292991413
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG PINK RETROSPOT'}),0.07366158655724893,0.05255959359124658,0.027061352090660414,0.3673740053050398,6.989666019149419,0.02318972903792498,1.4976311665245285
frozenset({'LUNCH BAG PINK RETROSPOT'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.05255959359124658,0.07366158655724893,0.027061352090660414,0.5148698884758364,6.989666019149418,0.02318972903792498,1.909463856062069
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.06369675654552559,0.07981633450566628,0.03438843298163345,0.539877300613497,6.763995164112308,0.029304391354269793,1.9998658330076857
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.07981633450566628,0.06369675654552559,0.03438843298163345,0.43084455324357407,6.763995164112307,0.029304391354269793,1.6450747309727003
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.04025009769441188,0.07981633450566628,0.021590465025400546,0.5364077669902912,6.720526196955473,0.01837784976393762,1.9848987967731178
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG SUKI  DESIGN '}),0.07366158655724893,0.05011723329425557,0.023544353262993357,0.3196286472148541,6.377619557292879,0.01985263834467871,1.3961239884914842
frozenset({'LUNCH BAG SUKI  DESIGN '}),frozenset({'LUNCH BAG RED SPOTTY'}),0.05011723329425557,0.07366158655724893,0.023544353262993357,0.4697855750487329,6.377619557292878,0.01985263834467871,1.7471014930004827
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.07366158655724893,0.051191871824931616,0.022762797967956234,0.3090185676392573,6.03647721060198,0.01899192347049644,1.3731311490287939
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG RED SPOTTY'}),0.051191871824931616,0.07366158655724893,0.022762797967956234,0.4446564885496183,6.03647721060198,0.01899192347049644,1.6680458029003487
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.04865181711606096,0.179073856975381,0.037710042985541224,0.7751004016064257,4.3283839120804,0.02899777444570733,3.6501894573773233
